block_id,study_rows,test_rows,thisN,thisTrialN,thisRepN,list_id,theme,study_word,language,key_resp_start_set.keys,key_resp_start_set.rt,key_resp_start_set.duration,problem,correct_resp,key_resp.keys,key_resp.rt,key_resp.duration,test_word,word_type,key_resp_start_test.keys,key_resp_start_test.rt,key_resp_start_test.duration,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,distractor_loop.thisRepN,distractor_loop.thisTrialN,distractor_loop.thisN,distractor_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,thisRow.t,notes,piloting,instructions.started,text_instr.started,key_resp_instr.started,instructions.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,start_set.started,text_start_set.started,key_resp_start_set.started,start_set.stopped,blocks_loop.key_resp_start_set.keys,blocks_loop.key_resp_start_set.rt,blocks_loop.key_resp_start_set.duration,study.started,text_study.started,text_study.stopped,study.stopped,timer.started,timer.stopped,distractor.started,text_problem.started,key_resp.started,text_dist_keys.started,distractor.stopped,distractor_loop.key_resp.keys,distractor_loop.key_resp.rt,distractor_loop.key_resp.duration,start_test.started,text_start_test.started,key_resp_start_test.started,start_test.stopped,blocks_loop.key_resp_start_test.keys,blocks_loop.key_resp_start_test.rt,blocks_loop.key_resp_start_test.duration,test.started,text_test.started,key_resp_test.started,text_test_keys.started,test.stopped,test_loop.key_resp_test.keys,test_loop.key_resp_test.corr,test_loop.key_resp_test.rt,test_loop.key_resp_test.duration,end.started,text.started,text.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.019345249980688095,0.023182916920632124,0.023182916920632124,60.71986595867202,space,60.678735666908324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035764,001,2026-05-09_14h00.47.586,false_memory_experiment,,2026.1.3,120.03889300927739,2026-05-09 14h00.47.687285 +0300,
4,36:48,15:20,0,0,0,4,sleep,bed,EN,space,2.428613374941051,None,,,,,,,,,,,,,,,0,0,0,3,0,0,0,0,,,,,,,,,63.18971704179421,,,,,,,,,,60.723549250047654,60.73979416675866,60.73979416675866,63.174501958768815,space,2.428613374941051,None,63.18526758393273,63.18971704179421,64.68137437477708,64.67396004172042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035764,001,2026-05-09_14h00.47.586,false_memory_experiment,,2026.1.3,120.03889300927739,2026-05-09 14h00.47.687285 +0300,
4,36:48,15:20,1,1,0,4,sleep,dream,EN,space,2.428613374941051,None,,,,,,,,,,,,,,,0,0,0,3,0,1,1,1,,,,,,,,,64.68137437477708,,,,,,,,,,,,,,,,,64.67501554172486,64.68137437477708,66.17302841693163,66.16558500006795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035764,001,2026-05-09_14h00.47.586,false_memory_experiment,,2026.1.3,120.03889300927739,2026-05-09 14h00.47.687285 +0300,
4,36:48,15:20,2,2,0,4,sleep,pillow,EN,space,2.428613374941051,None,,,,,,,,,,,,,,,0,0,0,3,0,2,2,2,,,,,,,,,66.17302841693163,,,,,,,,,,,,,,,,,66.16656112484634,66.17302841693163,67.66473516682163,67.6572543750517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035764,001,2026-05-09_14h00.47.586,false_memory_experiment,,2026.1.3,120.03889300927739,2026-05-09 14h00.47.687285 +0300,
4,36:48,15:20,3,3,0,4,sleep,night,EN,space,2.428613374941051,None,,,,,,,,,,,,,,,0,0,0,3,0,3,3,3,,,,,,,,,67.66473516682163,,,,,,,,,,,,,,,,,67.65823174966499,67.67304020887241,69.16474941698834,69.15725891664624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035764,001,2026-05-09_14h00.47.586,false_memory_experiment,,2026.1.3,120.03889300927739,2026-05-09 14h00.47.687285 +0300,
4,36:48,15:20,4,4,0,4,sleep,blanket,EN,space,2.428613374941051,None,,,,,,,,,,,,,,,0,0,0,3,0,4,4,4,,,,,,,,,69.16474941698834,,,,,,,,,,,,,,,,,69.15835995879024,69.17304033366963,70.66470833402127,70.65725395875052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035764,001,2026-05-09_14h00.47.586,false_memory_experiment,,2026.1.3,120.03889300927739,2026-05-09 14h00.47.687285 +0300,
4,36:48,15:20,5,5,0,4,sleep,rest,EN,space,2.428613374941051,None,,,,,,,,,,,,,,,0,0,0,3,0,5,5,5,,,,,,,,,70.66470833402127,,,,,,,,,,,,,,,,,70.65815337467939,70.67306987475604,72.16471820883453,72.15730195865035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035764,001,2026-05-09_14h00.47.586,false_memory_experiment,,2026.1.3,120.03889300927739,2026-05-09 14h00.47.687285 +0300,
4,36:48,15:20,6,6,0,4,sleep,snore,EN,space,2.428613374941051,None,,,,,,,,,,,,,,,0,0,0,3,0,6,6,6,,,,,,,,,72.16471820883453,,,,,,,,,,,,,,,,,72.1582766668871,72.17307362472638,73.66472441703081,73.65729049965739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035764,001,2026-05-09_14h00.47.586,false_memory_experiment,,2026.1.3,120.03889300927739,2026-05-09 14h00.47.687285 +0300,
4,36:48,15:20,7,7,0,4,sleep,tired,EN,space,2.428613374941051,None,,,,,,,,,,,,,,,0,0,0,3,0,7,7,7,,,,,,,,,73.66472441703081,,,,,,,,,,,,,,,,,73.65831641666591,73.67309362487867,75.16479666670784,75.15723416674882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035764,001,2026-05-09_14h00.47.586,false_memory_experiment,,2026.1.3,120.03889300927739,2026-05-09 14h00.47.687285 +0300,
4,36:48,15:20,8,8,0,4,sleep,nap,EN,space,2.428613374941051,None,,,,,,,,,,,,,,,0,0,0,3,0,8,8,8,,,,,,,,,75.16479666670784,,,,,,,,,,,,,,,,,75.15806133393198,75.1730293747969,76.6647529588081,76.65729908365756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035764,001,2026-05-09_14h00.47.586,false_memory_experiment,,2026.1.3,120.03889300927739,2026-05-09 14h00.47.687285 +0300,
