instructions.started,instructions.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,start_set.started,start_set.stopped,key_resp_start_set.keys,key_resp_start_set.rt,key_resp_start_set.duration,study.started,study.stopped,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,list_id,theme,study_word,language,timer.started,timer.stopped,distractor.started,distractor.stopped,key_resp.keys,key_resp.rt,key_resp.duration,distractor_loop.thisRepN,distractor_loop.thisTrialN,distractor_loop.thisN,distractor_loop.thisIndex,distractor_loop.ran,problem,correct_resp,start_test.started,start_test.stopped,key_resp_start_test.keys,key_resp_start_test.rt,key_resp_start_test.duration,test.started,test.stopped,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,test_word,word_type,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,blocks_loop.ran,block_id,study_rows,test_rows,end.started,end.stopped
0.003,59.8724,space,59.859,,2791473,001,2026-05-10_14h18.39.619,false_memory_experiment,2026.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h18.39.619,false_memory_experiment,2026.1.3,Win32,60.24096386,59.8881,68.3928,space,8.4954,,68.4025,69.8907,0,0,0,0,1,3,soğuk,kış,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h18.39.619,false_memory_experiment,2026.1.3,Win32,60.24096386,,,,,,69.8915,71.3906,0,1,1,1,1,3,soğuk,buz,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h18.39.619,false_memory_experiment,2026.1.3,Win32,60.24096386,,,,,,71.3913,72.8888,0,2,2,2,1,3,soğuk,kar,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h18.39.619,false_memory_experiment,2026.1.3,Win32,60.24096386,,,,,,72.8905,74.388,0,3,3,3,1,3,soğuk,üşümek,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h18.39.619,false_memory_experiment,2026.1.3,Win32,60.24096386,,,,,,74.3891,75.8885,0,4,4,4,1,3,soğuk,dondurucu,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h18.39.619,false_memory_experiment,2026.1.3,Win32,60.24096386,,,,,,75.8896,77.3887,0,5,5,5,1,3,soğuk,ayaz,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h18.39.619,false_memory_experiment,2026.1.3,Win32,60.24096386,,,,,,77.3897,78.8884,0,6,6,6,1,3,soğuk,titremek,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h18.39.619,false_memory_experiment,2026.1.3,Win32,60.24096386,,,,,,78.8896,80.3904,0,7,7,7,1,3,soğuk,derece,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h18.39.619,false_memory_experiment,2026.1.3,Win32,60.24096386,,,,,,80.3911,81.8908,0,8,8,8,1,3,soğuk,hava,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h18.39.619,false_memory_experiment,2026.1.3,Win32,60.24096386,,,,,,81.892,83.3881,0,9,9,9,1,3,soğuk,rüzgar,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h18.39.619,false_memory_experiment,2026.1.3,Win32,60.24096386,,,,,,83.3896,84.8883,0,10,10,10,1,3,soğuk,mont,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h18.39.619,false_memory_experiment,2026.1.3,Win32,60.24096386,,,,,,84.8901,86.3876,0,11,11,11,1,3,soğuk,eldiven,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h18.39.619,false_memory_experiment,2026.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,86.388,86.3881,86.4593,93.1224,left,6.6498,,0,0,0,11,1,39 - 15 = 26,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h18.39.619,false_memory_experiment,2026.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,93.1265,96.9553,left,3.8136,,0,1,1,4,1,19 + 33 = 53,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h18.39.619,false_memory_experiment,2026.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,96.9582,99.9552,left,2.9794,,0,2,2,7,1,19 - 15 = 3,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
