instructions.started,instructions.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,start_set.started,start_set.stopped,key_resp_start_set.keys,key_resp_start_set.rt,key_resp_start_set.duration,study.started,study.stopped,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,list_id,theme,study_word,language,timer.started,timer.stopped,distractor.started,distractor.stopped,key_resp.keys,key_resp.rt,key_resp.duration,distractor_loop.thisRepN,distractor_loop.thisTrialN,distractor_loop.thisN,distractor_loop.thisIndex,distractor_loop.ran,problem,correct_resp,start_test.started,start_test.stopped,key_resp_start_test.keys,key_resp_start_test.rt,key_resp_start_test.duration,test.started,test.stopped,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,test_word,word_type,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,blocks_loop.ran,block_id,study_rows,test_rows,end.started,end.stopped
0.0003,57.8177,space,57.7808,,erbil,001,2026-05-09_21h51.52.144,false_memory_experiment,2026.1.3,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,erbil,001,2026-05-09_21h51.52.144,false_memory_experiment,2026.1.3,Win32,142.8571429,57.8391,60.6902,space,2.8371,,60.7035,62.1908,0,0,0,0,1,6,cold,snow,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,erbil,001,2026-05-09_21h51.52.144,false_memory_experiment,2026.1.3,Win32,142.8571429,,,,,,62.1922,63.6901,0,1,1,1,1,6,cold,ice,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,erbil,001,2026-05-09_21h51.52.144,false_memory_experiment,2026.1.3,Win32,142.8571429,,,,,,63.6911,65.1899,0,2,2,2,1,6,cold,winter,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,erbil,001,2026-05-09_21h51.52.144,false_memory_experiment,2026.1.3,Win32,142.8571429,,,,,,65.1912,66.6893,0,3,3,3,1,6,cold,storm,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,erbil,001,2026-05-09_21h51.52.144,false_memory_experiment,2026.1.3,Win32,142.8571429,,,,,,66.6903,68.1889,0,4,4,4,1,6,cold,shiver,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,erbil,001,2026-05-09_21h51.52.144,false_memory_experiment,2026.1.3,Win32,142.8571429,,,,,,68.1897,69.6885,0,5,5,5,1,6,cold,arctic,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,erbil,001,2026-05-09_21h51.52.144,false_memory_experiment,2026.1.3,Win32,142.8571429,,,,,,69.6894,71.1881,0,6,6,6,1,6,cold,weather,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,erbil,001,2026-05-09_21h51.52.144,false_memory_experiment,2026.1.3,Win32,142.8571429,,,,,,71.1891,72.6877,0,7,7,7,1,6,cold,freeze,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,erbil,001,2026-05-09_21h51.52.144,false_memory_experiment,2026.1.3,Win32,142.8571429,,,,,,72.6886,74.1875,0,8,8,8,1,6,cold,chill,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
