instructions.started,instructions.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,start_set.started,start_set.stopped,key_resp_start_set.keys,key_resp_start_set.rt,key_resp_start_set.duration,study.started,study.stopped,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,list_id,theme,study_word,language,timer.started,timer.stopped,distractor.started,distractor.stopped,key_resp.keys,key_resp.rt,key_resp.duration,distractor_loop.thisRepN,distractor_loop.thisTrialN,distractor_loop.thisN,distractor_loop.thisIndex,distractor_loop.ran,problem,correct_resp,start_test.started,start_test.stopped,key_resp_start_test.keys,key_resp_start_test.rt,key_resp_start_test.duration,test.started,test.stopped,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,test_word,word_type,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,blocks_loop.ran,block_id,study_rows,test_rows,end.started,end.stopped
0.0003,22.3768,space,22.3638,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,22.3967,23.9456,space,1.5402,,23.9625,25.4423,0,0,0,0,1,4,sleep,bed,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,25.444,26.9419,0,1,1,1,1,4,sleep,dream,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,26.943,28.4445,0,2,2,2,1,4,sleep,pillow,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,28.4459,29.9445,0,3,3,3,1,4,sleep,night,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,29.9457,31.4444,0,4,4,4,1,4,sleep,blanket,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,31.4458,32.941,0,5,5,5,1,4,sleep,rest,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,32.9427,34.4435,0,6,6,6,1,4,sleep,snore,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,34.445,35.9433,0,7,7,7,1,4,sleep,tired,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,35.9449,37.4432,0,8,8,8,1,4,sleep,nap,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,37.4445,38.9433,0,9,9,9,1,4,sleep,dark,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,38.9445,40.4429,0,10,10,10,1,4,sleep,pajamas,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,40.4441,41.9427,0,11,11,11,1,4,sleep,yawn,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,,,,,,,,,,,,41.9436,41.9439,42.0075,48.4645,right,6.4473,,0,0,0,21,1,44 - 29 = 15,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,,,,,,,,,,,,,,48.4696,50.9693,left,2.4882,,0,1,1,0,1,8 + 39 = 46,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,,,,,,,,,,,,,,50.9728,55.1269,left,4.1448,,0,2,2,4,1,19 + 33 = 53,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,,,,,,,,,,,,,,55.1305,56.9502,,,,0,3,3,36,1,28 + 42 = 69,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,,,,,,,,4,,,EN,,,,,,,,,,,,,,right,56.9518,61.3496,space,4.3867,,61.3569,63.2245,right,1,1.8565,,0,0,0,1,1,yawn,old,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,,,,,,,,4,,,EN,,,,,,,,,,,,,,left,,,,,,63.2259,64.6687,left,1,1.4336,,0,1,1,2,1,chair,distractor,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,,,,,,,,4,,,EN,,,,,,,,,,,,,,left,,,,,,64.6702,65.4599,left,1,0.7799,,0,2,2,3,1,car,distractor,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,,,,,,,,4,,,EN,,,,,,,,,,,,,,left,,,,,,65.4614,66.5433,right,0,1.0725,,0,3,3,4,1,sleep,critical_lure,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,,,,,,,,4,,,EN,,,,,,,,,,,,,,right,,,,,,66.5446,67.4316,right,1,0.877,,0,4,4,0,1,bed,old,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,1,4,36:48,15:20,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,67.433,69.3413,space,1.8978,,69.352,70.8385,0,0,0,0,1,2,tatlı,şeker,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,70.8398,72.3405,0,1,1,1,1,2,tatlı,çikolata,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,72.3422,73.8404,0,2,2,2,1,2,tatlı,pasta,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,73.8417,75.34,0,3,3,3,1,2,tatlı,bal,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,eylem,001,2026-05-11_21h20.49.661,false_memory_experiment,2026.1.3,Win32,140.8450704,,,,,,75.3412,76.8401,0,4,4,4,1,2,tatlı,reçel,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
