instructions.started,instructions.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,start_set.started,start_set.stopped,key_resp_start_set.keys,key_resp_start_set.rt,key_resp_start_set.duration,study.started,study.stopped,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,list_id,theme,study_word,language,timer.started,timer.stopped,distractor.started,distractor.stopped,key_resp.keys,key_resp.rt,key_resp.duration,distractor_loop.thisRepN,distractor_loop.thisTrialN,distractor_loop.thisN,distractor_loop.thisIndex,distractor_loop.ran,problem,correct_resp,start_test.started,start_test.stopped,key_resp_start_test.keys,key_resp_start_test.rt,key_resp_start_test.duration,test.started,test.stopped,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,test_word,word_type,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,blocks_loop.ran,block_id,study_rows,test_rows,end.started,end.stopped
0,58.788,space,58.759,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,58.799,61.096,space,2.281,,61.108,62.595,0,0,0,0,1,1,uyku,yatak,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,62.597,64.094,0,1,1,1,1,1,uyku,rüya,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,64.097,65.595,0,2,2,2,1,1,uyku,yastık,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,65.597,67.095,0,3,3,3,1,1,uyku,gece,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,67.097,68.594,0,4,4,4,1,1,uyku,yorgan,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,68.597,70.094,0,5,5,5,1,1,uyku,battaniye,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,70.096,71.595,0,6,6,6,1,1,uyku,dinlenmek,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,71.596,73.094,0,7,7,7,1,1,uyku,horlamak,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2380228,001,2026-05-10_15h09.42.511,false_memory_experiment,2026.1.3,MacIntel,119.9040767,,,,,,73.097,74.594,0,8,8,8,1,1,uyku,pijama,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
