instructions.started,instructions.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,start_set.started,start_set.stopped,key_resp_start_set.keys,key_resp_start_set.rt,key_resp_start_set.duration,study.started,study.stopped,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,list_id,theme,study_word,language,timer.started,timer.stopped,distractor.started,distractor.stopped,key_resp.keys,key_resp.rt,key_resp.duration,distractor_loop.thisRepN,distractor_loop.thisTrialN,distractor_loop.thisN,distractor_loop.thisIndex,distractor_loop.ran,problem,correct_resp,start_test.started,start_test.stopped,key_resp_start_test.keys,key_resp_start_test.rt,key_resp_start_test.duration,test.started,test.stopped,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,test_word,word_type,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,blocks_loop.ran,block_id,study_rows,test_rows,end.started,end.stopped
0.0003,31.1224,space,31.1105,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,31.1399,34.2896,space,3.125,,34.3052,35.7892,0,0,0,0,1,4,sleep,bed,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,35.7916,37.2891,0,1,1,1,1,4,sleep,dream,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,37.2906,38.789,0,2,2,2,1,4,sleep,pillow,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,38.7906,40.2889,0,3,3,3,1,4,sleep,night,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,40.2905,41.7888,0,4,4,4,1,4,sleep,blanket,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,41.79,43.289,0,5,5,5,1,4,sleep,rest,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,43.2905,44.7891,0,6,6,6,1,4,sleep,snore,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,44.7908,46.2889,0,7,7,7,1,4,sleep,tired,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,46.2905,47.789,0,8,8,8,1,4,sleep,nap,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,47.7907,49.289,0,9,9,9,1,4,sleep,dark,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,49.2907,50.789,0,10,10,10,1,4,sleep,pajamas,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,50.7907,52.289,0,11,11,11,1,4,sleep,yawn,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,52.2898,52.2901,52.3603,59.7062,right,7.3237,,0,0,0,30,1,11 + 17 = 28,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,59.709,67.3088,,,,0,1,1,31,1,39 + 49 = 93,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,,,,,,,,4,,,EN,,,,,,,,,,,,,,left,67.3101,74.956,space,7.6271,,74.964,77.7885,left,1,2.802,,0,0,0,3,1,car,distractor,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,,,,,,,,4,,,EN,,,,,,,,,,,,,,left,,,,,,77.7889,78.5724,left,1,0.7657,,0,1,1,2,1,chair,distractor,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,,,,,,,,4,,,EN,,,,,,,,,,,,,,left,,,,,,78.5737,79.6553,right,0,1.0678,,0,2,2,4,1,sleep,critical_lure,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,,,,,,,,4,,,EN,,,,,,,,,,,,,,right,,,,,,79.6561,80.4222,right,1,0.7604,,0,3,3,1,1,yawn,old,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,,,,,,,,4,,,EN,,,,,,,,,,,,,,right,,,,,,80.4231,81.0722,right,1,0.6364,,0,4,4,0,1,bed,old,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,1,4,36:48,15:20,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,81.073,83.4054,space,2.3278,,83.4137,84.9054,0,0,0,0,1,6,cold,snow,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,022866,001,2026-05-09_15h00.44.755,false_memory_experiment,2026.1.3,MacIntel,60.24096386,,,,,,84.9068,86.4055,0,1,1,1,1,6,cold,ice,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
