block_id,study_rows,test_rows,thisN,thisTrialN,thisRepN,list_id,theme,study_word,language,key_resp_start_set.keys,key_resp_start_set.rt,key_resp_start_set.duration,problem,correct_resp,key_resp.keys,key_resp.rt,key_resp.duration,test_word,word_type,key_resp_start_test.keys,key_resp_start_test.rt,key_resp_start_test.duration,key_resp_test.keys,key_resp_test.corr,key_resp_test.rt,key_resp_test.duration,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,distractor_loop.thisRepN,distractor_loop.thisTrialN,distractor_loop.thisN,distractor_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,thisRow.t,notes,piloting,instructions.started,text_instr.started,key_resp_instr.started,instructions.stopped,key_resp_instr.keys,key_resp_instr.rt,key_resp_instr.duration,start_set.started,text_start_set.started,key_resp_start_set.started,start_set.stopped,blocks_loop.key_resp_start_set.keys,blocks_loop.key_resp_start_set.rt,blocks_loop.key_resp_start_set.duration,study.started,text_study.started,study.stopped,text_study.stopped,timer.started,timer.stopped,distractor.started,text_problem.started,key_resp.started,text_dist_keys.started,distractor.stopped,distractor_loop.key_resp.keys,distractor_loop.key_resp.rt,distractor_loop.key_resp.duration,start_test.started,text_start_test.started,key_resp_start_test.started,start_test.stopped,blocks_loop.key_resp_start_test.keys,blocks_loop.key_resp_start_test.rt,blocks_loop.key_resp_start_test.duration,test.started,text_test.started,key_resp_test.started,text_test_keys.started,test.stopped,test_loop.key_resp_test.keys,test_loop.key_resp_test.corr,test_loop.key_resp_test.rt,test_loop.key_resp_test.duration,end.started,text.started,text.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.06675910000922158,0.07484040001872927,0.07484040001872927,11.849083300039638,space,11.76760550000472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-05-09_22h58.25.245,false_memory_experiment,,2026.1.3,165.0840607711841,2026-05-09 22h58.25.410205 +0300,
5,48:60,20:25,0,0,0,5,sweet,sugar,EN,space,2.2086729999864474,None,,,,,,,,,,,,,,,0,0,0,4,0,0,0,0,,,,,,,,,14.087171300023329,,,,,,,,,,11.852802200010046,11.857442400010768,11.857442400010768,14.070875000033993,space,2.2086729999864474,None,14.080386600049678,14.087171300023329,15.573551000037696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-05-09_22h58.25.245,false_memory_experiment,,2026.1.3,165.0840607711841,2026-05-09 22h58.25.410205 +0300,
5,48:60,20:25,1,1,0,5,sweet,candy,EN,space,2.2086729999864474,None,,,,,,,,,,,,,,,0,0,0,4,0,1,1,1,,,,,,,,,15.578656700032298,,,,,,,,,,,,,,,,,15.574613100034185,15.578656700032298,17.064534700009972,17.069464900007006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-05-09_22h58.25.245,false_memory_experiment,,2026.1.3,165.0840607711841,2026-05-09 22h58.25.410205 +0300,
5,48:60,20:25,2,2,0,5,sweet,sour,EN,space,2.2086729999864474,None,,,,,,,,,,,,,,,0,0,0,4,0,2,2,2,,,,,,,,,17.069464900007006,,,,,,,,,,,,,,,,,17.065635000006296,17.069464900007006,18.5555444000056,18.56036620005034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-05-09_22h58.25.245,false_memory_experiment,,2026.1.3,165.0840607711841,2026-05-09 22h58.25.410205 +0300,
5,48:60,20:25,3,3,0,5,sweet,bitter,EN,space,2.2086729999864474,None,,,,,,,,,,,,,,,0,0,0,4,0,3,3,3,,,,,,,,,18.56036620005034,,,,,,,,,,,,,,,,,18.557060900027864,18.56036620005034,20.0462344000116,20.051261999993585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-05-09_22h58.25.245,false_memory_experiment,,2026.1.3,165.0840607711841,2026-05-09 22h58.25.410205 +0300,
5,48:60,20:25,4,4,0,5,sweet,chocolate,EN,space,2.2086729999864474,None,,,,,,,,,,,,,,,0,0,0,4,0,4,4,4,,,,,,,,,20.051261999993585,,,,,,,,,,,,,,,,,20.04733120003948,20.06334530003369,21.549333800037857,21.554434100049548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-05-09_22h58.25.245,false_memory_experiment,,2026.1.3,165.0840607711841,2026-05-09 22h58.25.410205 +0300,
5,48:60,20:25,5,5,0,5,sweet,taste,EN,space,2.2086729999864474,None,,,,,,,,,,,,,,,0,0,0,4,0,5,5,5,,,,,,,,,21.554434100049548,,,,,,,,,,,,,,,,,21.550384400004987,21.560395100037567,23.046239500050433,23.05216780002229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-05-09_22h58.25.245,false_memory_experiment,,2026.1.3,165.0840607711841,2026-05-09 22h58.25.410205 +0300,
5,48:60,20:25,6,6,0,5,sweet,honey,EN,space,2.2086729999864474,None,,,,,,,,,,,,,,,0,0,0,4,0,6,6,6,,,,,,,,,23.05216780002229,,,,,,,,,,,,,,,,,23.04721819999395,23.06341080000857,24.54919620003784,24.55435650004074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-05-09_22h58.25.245,false_memory_experiment,,2026.1.3,165.0840607711841,2026-05-09 22h58.25.410205 +0300,
5,48:60,20:25,7,7,0,5,sweet,cake,EN,space,2.2086729999864474,None,,,,,,,,,,,,,,,0,0,0,4,0,7,7,7,,,,,,,,,24.55435650004074,,,,,,,,,,,,,,,,,24.550254000001587,24.560244699998293,26.04609730001539,26.051774699997623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-05-09_22h58.25.245,false_memory_experiment,,2026.1.3,165.0840607711841,2026-05-09 22h58.25.410205 +0300,
5,48:60,20:25,8,8,0,5,sweet,cookie,EN,space,2.2086729999864474,None,,,,,,,,,,,,,,,0,0,0,4,0,8,8,8,,,,,,,,,26.051774699997623,,,,,,,,,,,,,,,,,26.047106300015002,26.063330200035125,27.55092050001258,27.5541227000067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-05-09_22h58.25.245,false_memory_experiment,,2026.1.3,165.0840607711841,2026-05-09 22h58.25.410205 +0300,
