participant,test_word,word_type,language,accuracy,reaction_time
2791473,bardak,distractor,Turkish (Native),1.0,3.401
2791473,mont,old,Turkish (Native),0.0,1.1226
2791473,soğuk,critical_lure,Turkish (Native),0.0,0.9562
2791473,kış,old,Turkish (Native),1.0,0.788
2791473,kağıt,distractor,Turkish (Native),1.0,0.6474
2791473,cold,critical_lure,English (Foreign),0.0,3.2563
2791473,snow,old,English (Foreign),1.0,0.6158
2791473,gloves,old,English (Foreign),0.0,0.6308
2791473,table,distractor,English (Foreign),1.0,0.715
2791473,cup,distractor,English (Foreign),1.0,0.553
2791473,saat,distractor,Turkish (Native),1.0,2.2116
2791473,tatlı,critical_lure,Turkish (Native),0.0,0.8552
2791473,şeker,old,Turkish (Native),1.0,0.6204
2791473,bal,old,Turkish (Native),1.0,0.559
2791473,kalem,distractor,Turkish (Native),1.0,0.7165
2791473,yatak,old,Turkish (Native),1.0,1.5309
2791473,lamba,old,Turkish (Native),0.0,0.5902
2791473,sandalye,distractor,Turkish (Native),1.0,0.7902
2791473,uyku,critical_lure,Turkish (Native),0.0,1.5986
2791473,araba,distractor,Turkish (Native),1.0,0.6442
2791473,pen,distractor,English (Foreign),1.0,2.0147
2791473,sugar,old,English (Foreign),1.0,1.1854
2791473,sweet,critical_lure,English (Foreign),1.0,0.7141
2791473,honey,old,English (Foreign),1.0,1.4615
2791473,phone,distractor,English (Foreign),1.0,0.7524
2791473,chair,distractor,English (Foreign),1.0,1.9358
2791473,bed,old,English (Foreign),1.0,1.0218
2791473,car,distractor,English (Foreign),1.0,1.3359
2791473,yawn,old,English (Foreign),1.0,0.8507
2791473,sleep,critical_lure,English (Foreign),0.0,0.7708
948662,bal,old,Turkish (Native),1.0,1.9745
948662,saat,distractor,Turkish (Native),1.0,1.2722
948662,şeker,old,Turkish (Native),1.0,0.8797
948662,kalem,distractor,Turkish (Native),1.0,0.8144
948662,tatlı,critical_lure,Turkish (Native),1.0,2.3972
948662,araba,distractor,Turkish (Native),1.0,2.3277
948662,lamba,old,Turkish (Native),1.0,1.3658
948662,sandalye,distractor,Turkish (Native),1.0,0.9166
948662,uyku,critical_lure,Turkish (Native),0.0,0.9491
948662,yatak,old,Turkish (Native),1.0,0.8033
948662,chair,distractor,English (Foreign),1.0,1.3594
948662,car,distractor,English (Foreign),1.0,1.0306
948662,yawn,old,English (Foreign),1.0,0.8305
948662,sleep,critical_lure,English (Foreign),0.0,0.75
948662,bed,old,English (Foreign),1.0,0.698
948662,snow,old,English (Foreign),1.0,1.4321
948662,cup,distractor,English (Foreign),1.0,0.9213
948662,table,distractor,English (Foreign),1.0,0.9842
948662,gloves,old,English (Foreign),1.0,0.7637
948662,cold,critical_lure,English (Foreign),0.0,1.5226
948662,honey,old,English (Foreign),1.0,1.1006
948662,sugar,old,English (Foreign),1.0,0.8658
948662,pen,distractor,English (Foreign),1.0,0.8173
948662,phone,distractor,English (Foreign),1.0,0.9048
948662,sweet,critical_lure,English (Foreign),1.0,1.5378
948662,soğuk,critical_lure,Turkish (Native),0.0,1.7179
948662,bardak,distractor,Turkish (Native),1.0,0.7476
948662,kış,old,Turkish (Native),1.0,0.773
948662,kağıt,distractor,Turkish (Native),1.0,0.7159
948662,mont,old,Turkish (Native),1.0,0.6645
954562,sandalye,distractor,Turkish (Native),1.0,1.366
954562,yatak,old,Turkish (Native),1.0,1.209
954562,uyku,critical_lure,Turkish (Native),0.0,1.342
954562,araba,distractor,Turkish (Native),1.0,0.76
954562,lamba,old,Turkish (Native),1.0,0.729
954562,saat,distractor,Turkish (Native),1.0,1.472
954562,kalem,distractor,Turkish (Native),1.0,0.617
954562,bal,old,Turkish (Native),1.0,0.68
954562,tatlı,critical_lure,Turkish (Native),0.0,0.746
954562,şeker,old,Turkish (Native),1.0,0.622
954562,soğuk,critical_lure,Turkish (Native),0.0,3.275
954562,bardak,distractor,Turkish (Native),1.0,0.736
954562,kış,old,Turkish (Native),1.0,0.631
954562,kağıt,distractor,Turkish (Native),1.0,0.698
954562,mont,old,Turkish (Native),1.0,0.997
954562,phone,distractor,English (Foreign),1.0,1.54
954562,sweet,critical_lure,English (Foreign),0.0,1.049
954562,pen,distractor,English (Foreign),1.0,0.666
954562,sugar,old,English (Foreign),1.0,0.664
954562,honey,old,English (Foreign),1.0,0.679
954562,bed,old,English (Foreign),1.0,5.438
954562,yawn,old,English (Foreign),1.0,0.693
954562,chair,distractor,English (Foreign),1.0,1.229
954562,car,distractor,English (Foreign),1.0,3.233
954562,sleep,critical_lure,English (Foreign),0.0,0.81
954562,cup,distractor,English (Foreign),1.0,1.056
954562,snow,old,English (Foreign),1.0,0.746
954562,gloves,old,English (Foreign),0.0,1.396
954562,cold,critical_lure,English (Foreign),0.0,0.776
954562,table,distractor,English (Foreign),1.0,0.881
sonat,sweet,critical_lure,English (Foreign),1.0,2.461
sonat,pen,distractor,English (Foreign),1.0,3.023
sonat,phone,distractor,English (Foreign),1.0,1.018
sonat,sugar,old,English (Foreign),1.0,22.446
sonat,honey,old,English (Foreign),1.0,0.753
sonat,yatak,old,Turkish (Native),1.0,1.956
sonat,sandalye,distractor,Turkish (Native),1.0,0.876
sonat,uyku,critical_lure,Turkish (Native),0.0,0.699
sonat,lamba,old,Turkish (Native),1.0,0.633
sonat,araba,distractor,Turkish (Native),1.0,0.637
sonat,table,distractor,English (Foreign),1.0,2.789
sonat,gloves,old,English (Foreign),1.0,1.313
sonat,cup,distractor,English (Foreign),1.0,1.832
sonat,cold,critical_lure,English (Foreign),0.0,0.686
sonat,snow,old,English (Foreign),1.0,0.649
sonat,mont,old,Turkish (Native),1.0,4.347
sonat,soğuk,critical_lure,Turkish (Native),0.0,1.119
sonat,kış,old,Turkish (Native),1.0,0.504
sonat,bardak,distractor,Turkish (Native),1.0,0.979
sonat,kağıt,distractor,Turkish (Native),1.0,0.847
sonat,kalem,distractor,Turkish (Native),1.0,29.144
sonat,şeker,old,Turkish (Native),1.0,1.031
sonat,saat,distractor,Turkish (Native),1.0,0.749
sonat,tatlı,critical_lure,Turkish (Native),0.0,0.743
sonat,bal,old,Turkish (Native),1.0,0.575
sonat,sleep,critical_lure,English (Foreign),0.0,4.417
sonat,chair,distractor,English (Foreign),1.0,0.661
sonat,car,distractor,English (Foreign),1.0,0.681
sonat,bed,old,English (Foreign),1.0,2.322
sonat,yawn,old,English (Foreign),1.0,0.587
366852,sweet,critical_lure,English (Foreign),0.0,2.0374
366852,honey,old,English (Foreign),0.0,1.1113
366852,phone,distractor,English (Foreign),1.0,0.7642
366852,pen,distractor,English (Foreign),1.0,0.6573
366852,sugar,old,English (Foreign),1.0,0.7409
366852,snow,old,English (Foreign),1.0,1.008
366852,gloves,old,English (Foreign),0.0,0.7654
366852,table,distractor,English (Foreign),1.0,1.2164
366852,cup,distractor,English (Foreign),1.0,0.6806
366852,cold,critical_lure,English (Foreign),0.0,1.1034
366852,bardak,distractor,Turkish (Native),1.0,1.5565
366852,soğuk,critical_lure,Turkish (Native),0.0,1.3465
366852,kış,old,Turkish (Native),1.0,0.7558
366852,kağıt,distractor,Turkish (Native),1.0,0.7961
366852,mont,old,Turkish (Native),1.0,0.7685
366852,sandalye,distractor,Turkish (Native),1.0,1.6318
366852,uyku,critical_lure,Turkish (Native),0.0,0.7751
366852,araba,distractor,Turkish (Native),1.0,0.7095
366852,yatak,old,Turkish (Native),1.0,0.6226
366852,lamba,old,Turkish (Native),0.0,0.7306
366852,car,distractor,English (Foreign),1.0,1.3502
366852,yawn,old,English (Foreign),1.0,0.6278
366852,chair,distractor,English (Foreign),1.0,0.6911
366852,bed,old,English (Foreign),1.0,0.9765
366852,sleep,critical_lure,English (Foreign),0.0,0.6648
366852,bal,old,Turkish (Native),1.0,0.968
366852,saat,distractor,Turkish (Native),1.0,0.7788
366852,tatlı,critical_lure,Turkish (Native),1.0,1.0754
366852,kalem,distractor,Turkish (Native),1.0,0.6817
366852,şeker,old,Turkish (Native),1.0,0.5899
934106,kalem,distractor,Turkish (Native),1.0,5.8962
934106,saat,distractor,Turkish (Native),1.0,0.7472
934106,tatlı,critical_lure,Turkish (Native),1.0,0.7295
934106,bal,old,Turkish (Native),1.0,1.1177
